year,period,periodName,date,series,value,md_rate,mn_rate
2020,M08,August,2020-08-01,jol,6360,6360,7123.818181818182
2020,M08,August,2020-08-01,jor,4.3,4.3,4.590909090909091
2020,M07,July,2020-07-01,ldl,1848,1759,1722.4545454545455
2020,M07,July,2020-07-01,ldr,1.3,1.2,1.190909090909091
2020,M07,July,2020-07-01,ql,2998,3097,3234.181818181818
2020,M07,July,2020-07-01,qr,2.2,2.2,2.209090909090909
2020,M07,July,2020-07-01,hl,6255,5649,5649.909090909091
2020,M07,July,2020-07-01,hr,4.5,3.8,3.8636363636363638
2020,M07,July,2020-07-01,tsl,5195,5338,5302.727272727273
2020,M07,July,2020-07-01,tsr,3.7,3.6,3.609090909090909
2020,M07,July,2020-07-01,jol,6514,6514,7174.909090909091
2020,M07,July,2020-07-01,jor,4.5,4.5,4.654545454545454
2020,M06,June,2020-06-01,ldl,2269,1761,1752.8181818181818
2020,M06,June,2020-06-01,ldr,1.6,1.2,1.209090909090909
2020,M06,June,2020-06-01,ql,2571,3154,3187.4545454545455
2020,M06,June,2020-06-01,qr,1.9,2.2,2.1818181818181817
2020,M06,June,2020-06-01,hl,7488,5760,5759.363636363636
2020,M06,June,2020-06-01,hr,5.4,3.8,3.9545454545454546
2020,M06,June,2020-06-01,tsl,5171,5463,5292.727272727273
2020,M06,June,2020-06-01,tsr,3.8,3.7,3.6272727272727274
2020,M06,June,2020-06-01,jol,6119,6305,7010
2020,M06,June,2020-06-01,jor,4.3,4.3,4.554545454545455
2020,M05,May,2020-05-01,ldl,2177,1773,1724.909090909091
2020,M05,May,2020-05-01,ldr,1.6,1.2,1.190909090909091
2020,M05,May,2020-05-01,ql,2265,3111,3162.6363636363635
2020,M05,May,2020-05-01,qr,1.7,2.1,2.1636363636363636
2020,M05,May,2020-05-01,hl,8098,5725,5798.272727272727
2020,M05,May,2020-05-01,hr,6.1,3.8,4.009090909090909
2020,M05,May,2020-05-01,tsl,4757,5270,5230.363636363636
2020,M05,May,2020-05-01,tsr,3.6,3.6,3.618181818181818
2020,M05,May,2020-05-01,jol,5581,5826,6987.727272727273
2020,M05,May,2020-05-01,jor,4,4,4.554545454545455
2020,M04,April,2020-04-01,ldl,9203,1764,2376.3636363636365
2020,M04,April,2020-04-01,ldr,7.1,1.2,1.709090909090909
2020,M04,April,2020-04-01,ql,1971,3028,3134.3636363636365
2020,M04,April,2020-04-01,qr,1.5,2.1,2.1636363636363636
2020,M04,April,2020-04-01,hl,4052,5294,5428.181818181818
2020,M04,April,2020-04-01,hr,3.1,3.7,3.7545454545454544
2020,M04,April,2020-04-01,tsl,11542,5441,5860.181818181818
2020,M04,April,2020-04-01,tsr,8.8,3.6,4.109090909090909
2020,M04,April,2020-04-01,jol,4686,6091,6923.909090909091
2020,M04,April,2020-04-01,jor,3.5,4,4.5181818181818185
2020,M03,March,2020-03-01,ldl,13036,1787,2759.2727272727275
2020,M03,March,2020-03-01,ldr,8.6,1.2,1.8545454545454545
2020,M03,March,2020-03-01,ql,2926,3150,3193.181818181818
2020,M03,March,2020-03-01,qr,1.9,2.2,2.1818181818181817
2020,M03,March,2020-03-01,hl,5172,5395,5477.545454545455
2020,M03,March,2020-03-01,hr,3.4,3.7,3.7363636363636363
2020,M03,March,2020-03-01,tsl,16313,5494,6302.363636363636
2020,M03,March,2020-03-01,tsr,10.8,3.7,4.290909090909091
2020,M03,March,2020-03-01,jol,5794,6129,6884.909090909091
2020,M03,March,2020-03-01,jor,3.7,4.1,4.463636363636364
2020,M02,February,2020-02-01,ldl,1968,1757,1719.8181818181818
2020,M02,February,2020-02-01,ldr,1.3,1.2,1.1727272727272728
2020,M02,February,2020-02-01,ql,3491,3222,3232.181818181818
2020,M02,February,2020-02-01,qr,2.3,2.2,2.2181818181818183
